,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
1,5,5,3,2,2,2,2,2
2,3,3,3,2,2,3,2,2
3,2,3,3,3,2,2,2,1
4,1,2,1,2,1,2,1,1
5,1,2,2,2,3,3,3,3
6,4,3,4,4,2,2,3,3
7,3,3,3,3,3,3,3,2
8,2,2,3,2,2,2,2,3
9,2,2,2,2,3,2,2,2
10,2,2,3,2,2,2,3,2
11,2,3,3,3,3,3,3,4
12,2,3,3,3,2,3,3,3
13,3,3,3,2,3,3,2,2
14,2,2,3,2,2,2,2,2
15,2,1,2,2,2,1,1,1
16,1,2,1,1,1,1,1,1
17,1,2,2,2,2,2,1,1
18,1,0,1,2,2,1,1,3
19,3,3,3,3,2,2,0,1
20,1,4,5,5,5,5,3,3
21,3,4,3,3,3,3,4,4
22,3,3,3,3,3,3,3,3
23,3,3,3,3,3,3,2,2
24,3,2,2,2,3,3,2,2
25,2,2,2,2,2,2,1,1
26,1,1,1,1,1,1,1,1
27,1,1,2,1,2,1,1,2
28,1,2,3,2,1,2,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,0,1,2
31,2,3,3,3,3,3,3,3
32,3,3,3,2,2,1,0,0
33,1,1,1,0,2,3,2,3
34,3,2,1,1,2,2,2,2
35,1,1,2,3,2,2,2,3
36,3,3,3,2,3,3,2,2
37,3,2,2,2,1,2,2,3
38,1,1,1,3,2,3,3,3
39,3,3,3,2,2,1,1,1
40,2,2,3,3,3,2,2,2
41,2,2,1,1,1,1,2,2
42,2,3,2,2,2,2,3,3
43,3,2,3,3,2,2,2,2
44,2,3,2,2,2,1,1,1
45,2,3,3,2,3,3,2,2
46,2,2,2,2,2,2,3,3
47,3,3,4,4,5,5,5,4
48,4,4,3,4,4,3,5,5
49,4,4,4,3,3,3,3,3
50,3,3,3,3,3,3,3,3
51,2,3,3,2,2,2,2,1
52,2,1,1,1,1,1,2,2
53,2,1,2,1,2,1,1,2
54,1,1,1,1,2,2,3,3
55,2,2,2,2,2,2,2,2
56,2,2,2,1,1,2,2,3
57,2,2,2,2,2,2,1,1
58,1,2,2,2,1,1,1,1
59,1,1,1,2,1,1,2,1
60,1,1,1,1,1,1,2,2
61,1,2,2,2,2,2,2,3
