,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
1,5,5,3,2,2,2,2,2
2,3,2,3,2,2,2,2,2
3,2,3,2,2,2,2,2,1
4,1,2,1,2,1,2,1,1
5,2,2,2,2,2,3,2,3
6,4,3,4,4,3,2,3,3
7,4,3,3,3,3,3,3,2
8,2,2,2,2,2,2,1,2
9,2,2,2,2,3,2,2,2
10,2,2,3,2,1,1,2,1
11,1,3,3,2,3,3,3,4
12,2,3,3,3,3,3,3,3
13,3,3,3,2,2,3,2,2
14,2,2,3,1,2,2,2,1
15,2,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,2,2,2,1,1,1,1
18,1,1,1,2,2,1,1,3
19,3,2,3,2,2,2,2,2
20,2,4,5,5,5,5,3,3
21,3,4,3,3,3,3,4,3
22,3,3,3,3,3,3,3,3
23,3,3,3,3,3,3,2,2
24,2,2,2,2,3,3,2,2
25,1,1,1,1,2,1,1,1
26,1,1,1,1,1,1,1,1
27,1,1,2,1,2,1,1,2
28,1,2,3,2,1,2,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,2
31,2,3,2,3,3,3,3,3
32,3,3,3,2,2,1,1,1
33,2,1,1,1,2,3,2,3
34,3,2,1,1,2,2,2,2
35,1,2,2,3,2,2,2,2
36,3,3,3,2,2,3,2,1
37,2,1,1,1,1,1,2,3
38,1,1,1,3,2,3,2,3
39,3,3,3,2,2,1,2,1
40,2,2,3,3,2,2,2,2
41,1,1,1,1,1,1,2,2
42,2,3,3,2,2,2,3,3
43,3,2,3,2,2,2,0,2
44,2,3,2,2,2,1,1,1
45,2,3,2,2,2,2,2,2
46,2,2,2,2,2,2,3,4
47,3,3,4,4,4,4,4,4
48,4,4,3,4,4,3,4,4
49,4,4,4,3,3,3,3,3
50,3,3,3,3,3,3,3,2
51,2,3,2,2,2,1,1,1
52,1,1,1,1,1,1,2,2
53,1,1,1,1,2,1,1,1
54,1,1,1,1,1,2,3,3
55,2,2,2,2,2,2,1,2
56,1,2,1,1,1,2,2,3
57,2,2,1,2,2,2,2,1
58,1,2,2,2,1,2,1,1
59,1,2,1,2,1,1,1,1
60,1,1,1,1,1,1,2,2
61,1,2,2,2,2,2,2,2
62,2,2,2,2,3,2,2,2
63,2,2,3,1,1,1,1,2
64,1,1,1,1,1,1,1,1
65,1,1,1,2,1,1,1,1
66,1,2,0,2,4,5,5,4
67,4,4,3,3,3,3,3,3
68,3,2,3,2,3,1,1,1
69,1,1,1,2,2,1,2,1
70,1,2,2,2,1,2,2,2
71,2,2,3,2,2,2,4,3
72,2,3,2,2,2,3,2,1
73,1,2,1,1,1,1,1,1
74,1,2,2,2,2,2,4,4
75,4,4,4,3,3,3,3,3
76,3,3,3,3,3,3,4,4
77,4,3,3,3,2,3,2,2
78,2,3,3,3,2,2,2,2
