,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
1,5,4,3,3,3,3,1,1
2,3,3,3,2,2,2,2,2
3,2,3,2,2,2,2,2,1
4,1,1,1,2,1,2,1,1
5,2,1,2,3,3,3,3,3
6,3,3,4,4,3,2,3,3
7,4,3,3,3,3,3,3,2
8,1,1,3,3,2,1,1,3
9,1,1,2,2,3,2,1,2
10,2,2,3,2,1,2,3,1
11,1,3,3,3,3,4,3,4
12,3,3,3,3,3,3,3,3
13,3,3,3,3,3,3,2,3
14,3,3,3,2,2,2,2,1
15,2,1,2,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,0
18,0,0,1,1,1,1,1,3
19,3,3,3,3,3,3,3,1
20,3,4,5,4,4,5,3,3
21,3,4,3,3,3,3,3,3
22,3,3,3,3,3,3,3,3
23,3,3,3,3,3,2,1,1
24,3,2,2,3,3,3,1,1
25,1,1,2,1,1,1,1,1
26,1,0,1,1,1,1,1,1
27,0,1,2,1,2,1,1,2
28,1,2,3,2,1,2,1,1
29,1,1,1,1,1,1,1,1
30,0,1,1,1,1,1,1,2
31,3,3,3,3,3,3,3,3
32,3,3,3,1,2,1,1,1
33,2,1,2,1,2,3,3,3
34,3,3,1,1,2,3,1,1
35,1,1,2,3,3,3,1,3
36,3,3,3,3,3,3,2,1
37,3,1,1,1,1,1,2,2
38,1,1,1,3,2,3,2,3
39,3,3,3,2,2,1,1,1
40,1,3,3,3,3,3,3,3
41,1,1,1,1,1,1,1,2
42,1,3,3,3,3,1,3,3
43,3,3,3,3,3,3,2,3
44,3,3,3,3,3,1,1,1
45,2,3,3,2,3,3,2,2
46,2,2,3,3,1,2,3,3
47,3,3,4,4,4,4,4,3
48,3,3,3,3,3,3,4,4
49,3,3,3,3,3,3,3,3
50,3,3,3,3,3,3,3,2
51,1,3,1,1,1,1,1,1
52,1,1,1,1,1,1,1,3
53,1,1,3,1,2,1,1,1
54,1,1,1,0,1,1,3,3
55,2,2,3,3,1,1,1,3
56,1,2,1,1,1,3,2,3
57,2,3,1,1,1,2,2,1
58,1,2,2,1,1,2,1,1
59,1,2,1,2,1,1,1,1
60,1,1,1,1,1,1,2,2
61,1,2,3,3,2,3,2,3
62,1,1,1,2,3,3,2,2
63,2,2,3,1,1,1,1,1
64,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1
66,1,1,2,3,3,4,5,4
67,4,3,3,3,3,3,3,3
68,3,1,2,2,2,1,1,1
69,1,1,1,2,1,1,2,1
70,1,2,2,2,1,2,2,2
71,2,2,3,4,3,3,3,3
72,2,3,2,2,2,3,2,1
73,1,2,1,1,1,1,1,1
74,1,1,2,2,1,2,4,4
75,4,4,3,3,3,3,3,3
76,3,3,3,3,3,3,4,4
77,3,3,3,3,3,3,3,3
78,3,3,3,3,3,3,3,3
79,3,3,3,2,3,3,3,1
80,3,2,1,3,3,3,3,3
81,1,1,1,1,1,1,1,1
82,1,1,2,2,1,1,1,1
83,1,3,3,2,1,1,2,2
84,1,1,1,2,3,3,3,3
85,3,1,1,1,2,1,1,1
86,1,1,0,0,0,1,1,2
87,3,3,3,3,3,3,1,2
88,3,3,1,3,3,3,3,3
89,3,2,2,3,2,1,2,2
90,3,2,3,3,3,2,3,2
91,2,1,1,1,1,1,1,0
92,1,0,1,1,1,1,1,1
93,1,1,1,1,3,3,4,3
94,3,3,3,1,2,3,3,3
95,3,3,3,3,3,1,1,2
96,3,2,2,3,3,3,2,3
97,3,1,3,3,2,2,2,1
98,1,1,1,1,1,3,4,3
99,3,1,1,1,1,1,1,1
100,1,1,1,1,1,1,0,0
101,1,1,1,1,1,1,2,1
102,1,1,2,2,3,2,2,3
103,3,2,3,3,3,3,4,4
104,3,4,3,3,3,3,3,3
105,3,2,3,4,3,3,3,3
106,1,1,0,1,1,2,3,3
107,2,2,3,3,3,3,4,3
108,1,3,3,3,2,3,3,3
109,2,3,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1
111,2,1,3,2,1,1,1,2
112,2,1,2,2,2,2,3,2
113,2,2,2,2,3,3,3,2
114,2,1,1,2,2,2,3,2
115,1,2,2,3,4,3,2,2
116,2,2,2,2,2,2,1,1
117,2,1,2,1,2,1,2,1
118,2,3,2,2,2,2,1,1
119,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,1
121,1,0,3,2,3,3,3,3
122,1,3,3,3,3,4,3,3
123,3,3,3,3,3,3,3,3
124,3,3,2,3,2,3,2,1
125,1,1,1,1,1,1,0,1
126,1,1,3,2,1,3,1,3
127,3,3,3,3,3,4,2,3
128,2,3,1,2,2,2,3,3
129,4,5,4,4,4,4,4,4
130,3,3,3,3,3,3,3,3
131,3,3,3,3,3,2,3,2
132,2,1,1,1,1,2,1,1
133,1,1,1,1,1,1,1,1
134,1,2,2,3,3,3,1,3
135,3,1,2,3,1,1,3,3
136,3,3,3,3,3,3,2,3
137,3,3,3,3,3,3,2,2
138,2,2,3,3,3,3,3,3
139,3,3,3,3,2,2,1,1
140,1,2,3,3,1,1,1,2
141,2,2,2,1,2,1,2,2
142,3,3,3,3,3,3,3,3
143,3,3,3,3,3,3,1,1
144,2,2,2,1,1,1,1,1
145,1,1,2,3,1,1,1,1
146,1,1,1,1,1,1,1,1
147,1,1,1,1,1,0,1,1
148,2,1,1,3,3,3,3,3
149,3,3,3,3,3,3,3,3
150,3,1,3,3,2,3,3,3
151,3,3,2,2,1,3,2,2
152,1,3,3,1,3,3,3,3
153,2,1,1,1,1,1,1,1
154,1,1,1,1,0,1,0,1
155,1,0,0,0,0,1,1,1
156,1,1,0,1,0,1,0,1
157,2,1,3,3,4,3,4,4
158,4,5,3,3,3,3,3,2
159,3,3,3,3,3,3,3,3
160,3,1,2,3,1,1,1,1
161,1,1,0,1,1,1,0,0
162,1,1,1,1,3,3,3,3
163,3,3,3,3,3,3,3,3
164,3,3,3,3,3,3,3,3
165,3,3,3,3,2,2,2,1
166,2,1,2,2,2,3,4,4
167,3,3,3,3,3,3,3,3
168,3,2,2,3,3,1,1,1
169,2,3,3,3,3,3,3,2
170,3,3,3,3,3,2,2,2
171,2,2,2,2,2,2,1,1
172,1,1,1,1,1,1,1,1
173,1,1,1,1,0,0,0,0
174,0,0,0,1,1,3,3,3
175,3,1,1,1,1,3,3,3
176,3,3,3,3,3,3,2,2
177,3,2,2,1,2,1,2,3
178,3,3,3,3,3,3,3,3
179,3,3,3,3,1,1,2,2
180,2,2,1,1,1,1,1,2
181,1,0,1,0,1,1,1,0
182,0,0,0,0,1,3,3,3
183,3,3,3,2,1,1,1,1
184,1,1,1,1,1,1,3,3
185,3,3,3,3,3,3,3,3
186,2,2,1,1,1,0,2,1
187,1,1,1,0,0,0,1,1
188,0,0,0,1,1,1,1,2
189,3,3,3,3,3,3,4,3
190,3,3,4,4,3,4,3,3
191,3,3,3,3,4,3,3,3
192,3,3,3,3,1,3,3,3
193,3,2,2,3,2,2,2,3
194,3,3,4,3,3,3,3,3
195,3,2,3,2,2,1,1,3
196,3,3,4,3,3,3,3,3
197,3,3,3,3,3,3,1,3
198,3,2,1,3,2,2,1,1
199,2,1,1,2,2,1,1,1
200,1,1,1,1,1,0,0,0
201,0,0,0,1,1,0,0,3
202,4,5,4,4,3,3,3,1
203,1,2,2,2,2,2,1,3
