date,Np,Tp,Vp,B_gsm_x,B_gsm_y,B_gsm_z,Bmag
01-01 00:00,1.2253550295857996,32956.03550295858,443.0365088757398,5.142349112426033,1.9886923076923066,-12.914,14.143319526627224
01-01 03:00,1.613686390532543,55713.59704142012,431.72349112426,3.5748224852071018,-2.5705857988165683,-9.271053254437872,11.855372781065086
01-01 06:00,1.1918511904761895,80571.95833333333,432.3905357142858,4.361541666666667,-5.262113095238094,-7.125196428571428,10.51714880952381
01-01 09:00,1.0999999999999968,149231.29585798815,428.2136094674561,3.5335739644970388,-6.503804733727812,4.220485207100592,9.589147928994084
01-01 12:00,1.0999999999999968,77718.39644970415,413.764023668639,6.511307692307694,-6.137467455621302,-0.6644260355029583,9.313183431952655
01-01 15:00,1.4886745562130166,53749.5325443787,416.14532544378665,6.063449704142009,-5.60328402366864,-0.12167455621301779,8.368153846153843
01-01 18:00,6.703416666666667,57165.67857142857,432.75035714285707,3.8082976190476177,-1.8284404761904756,-0.3935238095238097,4.758857142857144
01-01 21:00,6.5571656804733776,71261.4023668639,435.1035502958581,4.1840473372781055,-3.2903550295858,0.29326035502958575,5.528810650887573
01-02 00:00,3.9278934911242582,35302.78698224852,438.18201183431967,4.910076923076919,-5.5382366863905315,-1.1877869822485212,8.25790532544379
01-02 03:00,4.678644970414199,25828.07100591716,441.17059171597606,5.4022366863905305,-6.125739644970415,-1.0163550295857988,8.345852071005915
01-02 06:00,7.539244047619049,43856.857142857145,461.17077380952367,3.001583333333334,-3.9430357142857133,-1.4057619047619045,5.872565476190476
01-02 09:00,7.605514792899413,63566.53846153846,476.50343195266265,1.2832011834319517,-2.321745562130177,0.4954319526627222,4.752171597633137
01-02 12:00,5.884550295857991,98680.7573964497,471.2166272189352,-2.4658402366863905,0.698869822485207,0.324763313609467,4.420810650887574
01-02 15:00,5.476431952662724,96962.27810650888,462.13201183431977,-4.987124260355029,0.3825266272189349,0.26343786982248535,5.637928994082837
01-02 18:00,5.596000000000003,104088.89880952382,458.4991071428571,-5.030351190476192,0.9008630952380954,1.9542738095238101,5.922535714285711
01-02 21:00,5.596000000000003,91885.40828402367,452.7637278106511,-5.357035502958579,1.4329171597633132,2.6077988165680477,6.739668639053253
01-03 00:00,5.596000000000003,81160.30177514793,437.4592899408284,-6.581473372781064,2.42312426035503,2.098556213017752,7.5271301775147945
01-03 03:00,5.596000000000003,103492.9349112426,453.3536686390532,-4.878106508875736,3.557940828402367,0.3858047337278104,7.424615384615384
01-03 06:00,5.303255952380955,112059.04166666667,451.9346428571428,-5.182261904761906,2.333815476190477,0.3174047619047619,6.367029761904764
01-03 09:00,3.7250650887573955,77214.36686390532,450.7218343195266,-4.894579881656805,2.5996627218934907,-0.26826627218934906,5.989497041420119
01-03 12:00,4.377360946745564,73600.58579881657,468.02911242603557,-2.438911242603548,3.0061183431952667,0.2877337278106514,4.985603550295854
01-03 15:00,4.702431952662717,61527.869822485205,467.1717159763312,-0.8345798816568046,2.698887573964498,-0.12839644970414232,4.38494674556213
01-03 18:00,3.902666666666669,54367.03571428572,473.6443452380953,1.9186130952380962,2.5994940476190473,-1.18714880952381,4.161458333333335
01-03 21:00,3.0712248520710075,102261.05325443787,432.1778698224852,-4.204278106508874,1.299579881656805,0.7542603550295857,4.5620946745562145
01-04 00:00,3.0244970414201195,84498.1775147929,419.229526627219,-3.489544378698224,1.827633136094675,-0.1497810650887574,4.075745562130178
01-04 03:00,3.3295917159763326,69908.74556213018,430.80053254437877,-2.57850295857988,2.110242603550296,-0.7637810650887574,4.132994082840237
01-04 06:00,4.251755952380954,59960.42261904762,444.26702380952383,-2.8975178571428595,2.343369047619046,1.2351071428571434,4.338833333333336
01-04 09:00,4.378420118343194,58355.680473372784,439.73621301775165,-3.7889289940828395,0.6517869822485208,2.4498047337278104,5.624994082840235
01-04 12:00,3.7240591715976326,69933.66863905326,432.9998224852073,-2.808869822485208,-2.3466035502958587,2.4357218934911256,4.855852071005916
01-04 15:00,4.496668639053254,82167.14201183432,416.84514792899415,-4.304242603550297,-0.017526627218934412,-0.4420769230769235,5.193213017751479
01-04 18:00,5.244910714285713,63883.93452380953,415.66702380952404,-4.397529761904765,-0.4284880952380955,1.6026071428571425,5.086083333333335
01-04 21:00,5.401834319526625,62399.408284023666,400.9907692307692,-4.045047337278108,1.2562426035502958,2.040852071005917,4.945952662721891
01-05 00:00,6.020585798816572,74733.02366863906,419.44733727810654,-3.5549526627218957,2.4392840236686384,2.6039881656804758,6.069153846153848
01-05 03:00,7.683804733727821,59406.44970414201,405.0596449704142,-3.343201183431952,5.029295857988169,2.9935384615384626,6.995230769230769
